Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Astoria OR VHF 30mi,W7BU Chinook Meg,25K,High,145.45,144.85,118.8,118.8,Off
Astoria OR VHF 30mi,NM7R Chinook Meg,25K,High,147.18,147.78,82.5,82.5,Off
Astoria OR VHF 30mi,W7BU Gearhart ,25K,High,146.8,146.20000000000002,118.8,118.8,Off
Astoria OR VHF 30mi,K7RPT Astoria Wi,25K,High,146.72,146.12,114.8,114.8,Off
Astoria OR VHF 30mi,W7RDR Ilwaco KVA,25K,High,146.86,146.26000000000002,118.8,118.8,Off
Astoria OR VHF 30mi,NM7R Cathlamet K,25K,High,147.02,147.62,118.8,118.8,Off
Astoria OR VHF 30mi,W7BU Astoria Nic,25K,High,146.76,146.16,118.8,118.8,Off
Astoria OR VHF 30mi,NM7R Ocean Park ,25K,High,145.17,144.57,118.8,118.8,Off
Astoria OR VHF 30mi,WA7PIX Seaside ,25K,High,147.0,147.6,118.8,118.8,Off
Astoria OR VHF 30mi,W7BU Cannon Beac,25K,High,146.74,146.14000000000001,118.8,118.8,Off
