Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Longview WA VHF 35mi,W7DG Longview ,25K,High,147.26,147.85999999999999,114.8,114.8,Off
Longview WA VHF 35mi,N7EI Deer Island,25K,High,146.88,146.28,114.8,114.8,Off
Longview WA VHF 35mi,W7DG Woodland Fi,25K,High,147.3,147.9,114.8,114.8,Off
Longview WA VHF 35mi,N7EI Warren McNu,25K,High,146.68,146.08,114.8,114.8,Off
Longview WA VHF 35mi,W7VER Vernonia C,25K,High,145.25,144.65,114.8,114.8,Off
Longview WA VHF 35mi,W7BU Astoria Nic,25K,High,146.76,146.16,118.8,118.8,Off
Longview WA VHF 35mi,WA7UHD Chehalis ,25K,High,147.06,147.66,110.9,110.9,Off
Longview WA VHF 35mi,K7KFM Chehalis C,25K,High,146.74,146.14000000000001,110.9,110.9,Off
Longview WA VHF 35mi,NM7R Cathlamet K,25K,High,147.02,147.62,118.8,118.8,Off
Longview WA VHF 35mi,K7RPT Astoria Wi,25K,High,146.72,146.12,114.8,114.8,Off
Longview WA VHF 35mi,KJ7IY Timber ,25K,High,145.27,144.67000000000002,107.2,107.2,Off
Longview WA VHF 35mi,WA7PIX Seaside ,25K,High,147.0,147.6,118.8,118.8,Off
Longview WA VHF 35mi,K7BPR Hockinson ,25K,High,147.08,147.68,107.2,107.2,Off
Longview WA VHF 35mi,W7AIA Camas Livi,25K,High,147.24,147.84,94.8,94.8,Off
Longview WA VHF 35mi,AB7F Vancouver L,25K,High,145.37,144.77,123.0,123.0,Off
Longview WA VHF 35mi,W7LT Vancouver L,25K,High,146.84,146.24,Off,Off,Off
