Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Olympia WA VHF 30mi,NT7H Olympia wat,25K,High,147.36,147.96,103.5,103.5,Off
Olympia WA VHF 30mi,N7EHP Tumwater ,25K,High,147.12,147.72,173.8,173.8,Off
Olympia WA VHF 30mi,WC7I Lacey ,25K,High,146.8,146.20000000000002,97.4,97.4,Off
Olympia WA VHF 30mi,K7CPR Olympia Ca,25K,High,145.47,144.87,100.0,100.0,Off
Olympia WA VHF 30mi,WB7DOB Enumclaw ,25K,High,147.14,147.73999999999998,123.0,123.0,Off
Olympia WA VHF 30mi,W7DK Tenino Craw,25K,High,147.38,147.98,103.5,103.5,Off
Olympia WA VHF 30mi,N7SK Shelton Wat,25K,High,146.72,146.12,103.5,103.5,Off
Olympia WA VHF 30mi,KI7CPI Moclips ,25K,High,147.22,147.82,77.0,77.0,Off
Olympia WA VHF 30mi,K7NP University ,25K,High,145.29,144.69,114.8,114.8,Off
Olympia WA VHF 30mi,K7CEM Centralia ,25K,High,146.86,147.46,110.9,110.9,Off
Olympia WA VHF 30mi,K7CEM Centralia ,25K,High,145.49,144.89000000000001,110.9,110.9,Off
Olympia WA VHF 30mi,W7DK Tacoma Ch 2,25K,High,145.21,144.61,141.3,141.3,Off
Olympia WA VHF 30mi,WA7UHD Chehalis ,25K,High,145.43,144.83,110.9,110.9,Off
Olympia WA VHF 30mi,KB7CNN Edgewood ,25K,High,146.64,146.04,103.5,103.5,Off
Olympia WA VHF 30mi,W7DK Tacoma ,25K,High,147.28,147.88,103.5,103.5,Off
Olympia WA VHF 30mi,K7HW Tacoma ,25K,High,146.94,146.34,103.5,103.5,Off
Olympia WA VHF 30mi,NM7E Belfair ,25K,High,145.17,144.57,103.5,103.5,Off
Olympia WA VHF 30mi,K7CH Shelton Sou,25K,High,145.27,144.67000000000002,127.3,127.3,Off
Olympia WA VHF 30mi,W7ZLJ Olalla ,25K,High,145.35,144.75,103.5,103.5,Off
Olympia WA VHF 30mi,KB7CNN Alder ,25K,High,145.45,144.85,110.9,110.9,Off
Olympia WA VHF 30mi,WA7FW Federal Wa,25K,High,146.76,146.16,103.5,103.5,Off
Olympia WA VHF 30mi,WA7FW Federal Wa,25K,High,147.04,147.64,103.5,103.5,Off
