Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Packwood WA VHF 40mi,K7KFL Packwood ,25K,High,146.74,146.14000000000001,131.8,131.8,Off
Packwood WA VHF 40mi,WW7CH Paradise M,25K,High,146.78,146.18,103.5,103.5,Off
Packwood WA VHF 40mi,K7DNR Ashford ,25K,High,145.25,144.65,186.2,186.2,Off
Packwood WA VHF 40mi,WA7SAR Yakima Da,25K,High,146.86,146.26000000000002,123.0,123.0,Off
Packwood WA VHF 40mi,WB7DOB Greenwate,25K,High,145.41,144.81,162.2,162.2,Off
Packwood WA VHF 40mi,K7HW Mineral ,25K,High,146.68,146.08,103.5,103.5,Off
Packwood WA VHF 40mi,W7EAT Eatonville,25K,High,146.7,146.1,103.5,103.5,Off
Packwood WA VHF 40mi,KB7CNN Alder ,25K,High,145.45,144.85,110.9,110.9,Off
Packwood WA VHF 40mi,W7AQ Yakima Beth,25K,High,147.3,147.9,123.0,123.0,Off
Packwood WA VHF 40mi,WB7DOB Buckley T,25K,High,147.3,147.9,88.5,88.5,Off
Packwood WA VHF 40mi,WA7SAR Trout Lak,25K,High,147.08,147.68,123.0,123.0,Off
Packwood WA VHF 40mi,N3KPU Graham ,25K,High,145.23,144.63,146.2,146.2,Off
