Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Portland OR UHF 30mi,KB7PSM Vancouver,25K,High,440.15,445.15,,,Off
Portland OR UHF 30mi,W7PMC Portland ,25K,High,443.225,448.225,107.2,107.2,Off
Portland OR UHF 30mi,W7RAT Portland K,25K,High,440.4,445.4,123.0,123.0,Off
Portland OR UHF 30mi,K7LHS Portland E,25K,High,440.825,445.825,110.9,110.9,Off
Portland OR UHF 30mi,K7LTA Portland O,25K,High,442.7,447.7,100.0,100.0,Off
Portland OR UHF 30mi,KB7OYI Portland ,25K,High,440.35,445.35,127.3,127.3,Off
Portland OR UHF 30mi,KA7AGH Portland ,25K,High,443.275,448.275,167.9,167.9,Off
Portland OR UHF 30mi,K7LJ Portland Co,25K,High,442.65,447.65,100.0,100.0,Off
Portland OR UHF 30mi,K7RPT Portland S,25K,High,442.225,447.225,103.5,103.5,Off
Portland OR UHF 30mi,K7NE Portland Co,25K,High,443.3,448.3,100.0,100.0,Off
Portland OR UHF 30mi,N7PIR Portland S,25K,High,440.45,445.45,103.5,103.5,Off
Portland OR UHF 30mi,W7EXH Portland S,25K,High,441.35,446.35,100.0,100.0,Off
Portland OR UHF 30mi,W7DTV Portland S,25K,High,443.625,448.625,77.0,77.0,Off
Portland OR UHF 30mi,AB7BS Portland K,25K,High,440.5,445.5,D125,D125,Off
Portland OR UHF 30mi,N7BAR Portland S,25K,High,440.2,445.2,100.0,100.0,Off
Portland OR UHF 30mi,W7PM Portland KP,25K,High,442.25,447.25,100.0,100.0,Off
Portland OR UHF 30mi,W7PSV Beaverton ,25K,High,444.85,449.85,123.0,123.0,Off
Portland OR UHF 30mi,K7GDS Portland G,25K,High,443.55,448.55,100.0,100.0,Off
Portland OR UHF 30mi,N7PRM Cedar Mill,25K,High,444.8,449.8,107.2,107.2,Off
Portland OR UHF 30mi,WB7CRT Beaverton,25K,High,444.75,449.75,123.0,123.0,Off
Portland OR UHF 30mi,WA7LO Lake Osweg,25K,High,444.3,449.3,82.5,82.5,Off
Portland OR UHF 30mi,WB7QIW Clackamas,25K,High,443.475,448.475,167.9,167.9,Off
Portland OR UHF 30mi,KJ7IY Clackamas ,25K,High,443.15,448.15,107.2,107.2,Off
Portland OR UHF 30mi,N7XMT Vancouver ,25K,High,444.55,449.55,131.8,131.8,Off
Portland OR UHF 30mi,NM7B Aloha ,25K,High,443.35,448.35,156.7,156.7,Off
Portland OR UHF 30mi,K6PRN Portland S,25K,High,443.2,448.2,173.8,173.8,Off
Portland OR UHF 30mi,KF7TTS Tigard Bu,25K,High,440.175,445.175,110.9,110.9,Off
Portland OR UHF 30mi,KC7QPD Hazel Del,25K,High,443.8,448.8,100.0,100.0,Off
Portland OR UHF 30mi,KA7OSM Aloha Coo,25K,High,442.525,447.525,107.2,107.2,Off
Portland OR UHF 30mi,WA7DRO West Linn,25K,High,441.65,446.65,107.2,107.2,Off
Portland OR UHF 30mi,KJ7ECQ Tualatin ,25K,High,444.525,449.525,136.5,136.5,Off
Portland OR UHF 30mi,AB7F Vancouver L,25K,High,442.375,447.375,123.0,123.0,Off
Portland OR UHF 30mi,KE7AWR Gresham W,25K,High,441.625,446.625,146.2,146.2,Off
Portland OR UHF 30mi,N7DOD Gresham ,25K,High,446.275,451.275,167.9,167.9,Off
Portland OR UHF 30mi,W7ZRS Oregon Cit,25K,High,442.075,447.075,103.5,103.5,Off
Portland OR UHF 30mi,KE7BK Camas Prun,25K,High,444.525,449.525,103.5,103.5,Off
Portland OR UHF 30mi,K7CPU Hillsboro ,25K,High,444.975,449.975,107.2,107.2,Off
Portland OR UHF 30mi,KR7IS Sherwood ,25K,High,443.425,448.425,107.2,107.2,Off
Portland OR UHF 30mi,KJ7IY Sherwood ,25K,High,442.275,447.275,107.2,107.2,Off
Portland OR UHF 30mi,K7REA Sherwood ,25K,High,442.575,447.575,123.0,123.0,Off
Portland OR UHF 30mi,WB7QAZ Canby ,25K,High,442.9,447.9,123.0,123.0,Off
Portland OR UHF 30mi,K7BPR Hockinson ,25K,High,444.725,449.725,107.2,107.2,Off
Portland OR UHF 30mi,K7CFD Canby ,25K,High,444.45,449.45,131.8,131.8,Off
Portland OR UHF 30mi,AH6LE Newberg Pa,25K,High,442.675,447.675,100.0,100.0,Off
Portland OR UHF 30mi,W7AIA Camas Livi,25K,High,443.925,448.925,94.8,94.8,Off
Portland OR UHF 30mi,K7RPT Newberg Ch,25K,High,443.75,448.75,100.0,100.0,Off
Portland OR UHF 30mi,K7ABL La Center ,25K,High,444.925,449.925,94.8,94.8,Off
Portland OR UHF 30mi,K7AUO Laurelwood,25K,High,443.65,448.65,100.0,100.0,Off
Portland OR UHF 30mi,WA7RGO Newberg B,25K,High,442.55,447.55,114.8,114.8,Off
Portland OR UHF 30mi,KJ7IY Sandy ,25K,High,442.875,447.875,107.2,107.2,Off
Portland OR UHF 30mi,KE7FUW Vancouver,25K,High,443.675,448.675,107.2,107.2,Off
Portland OR UHF 30mi,W7AIA Vancouver ,25K,High,443.9,448.9,94.8,94.8,Off
Portland OR UHF 30mi,WA7ABU Beavercre,25K,High,444.6,449.6,100.0,100.0,Off
Portland OR UHF 30mi,N7EI Warren McNu,25K,High,444.625,449.625,107.2,107.2,Off
Portland OR UHF 30mi,KC7NQU Yacolt Ya,25K,High,441.2,446.2,107.2,107.2,Off
Portland OR UHF 30mi,W7DTV Molalla Mo,25K,High,440.7,445.7,77.0,77.0,Off
Portland OR UHF 30mi,N8VJP Woodland ,25K,High,440.575,445.575,100.0,100.0,Off
Portland OR UHF 30mi,K7LJ Woodland ,25K,High,444.475,449.475,100.0,100.0,Off
Portland OR UHF 30mi,WB7DZG Colton ,25K,High,442.925,447.925,107.2,107.2,Off
