Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Salem OR UHF 39mi,K7UN Salem Popco,25K,High,441.7,446.7,186.2,186.2,Off
Salem OR UHF 39mi,KE7DLA Salem ,25K,High,442.5,447.5,100.0,100.0,Off
Salem OR UHF 39mi,AC7RF Salem ,25K,High,440.275,445.275,107.2,107.2,Off
Salem OR UHF 39mi,K7RTL Salem ,25K,High,440.05,445.05,100.0,100.0,Off
Salem OR UHF 39mi,AD7ET Salem CCC,25K,High,443.175,448.175,88.5,88.5,Off
Salem OR UHF 39mi,W6WHD Salem West,25K,High,444.1,449.1,136.5,136.5,Off
Salem OR UHF 39mi,W6WHD Salem West,25K,High,441.925,446.925,107.2,107.2,Off
Salem OR UHF 39mi,AB7BS Salem Eagl,25K,High,442.45,447.45,D125,D125,Off
Salem OR UHF 39mi,KC7CFS Salem ,25K,High,443.45,448.45,123.0,123.0,Off
Salem OR UHF 39mi,W7SRA Salem Pros,25K,High,441.275,446.275,100.0,100.0,Off
Salem OR UHF 39mi,W7SRA Salem Pros,25K,High,443.725,448.725,186.2,186.2,Off
Salem OR UHF 39mi,W7DTV Salem Pros,25K,High,441.175,446.175,77.0,77.0,Off
Salem OR UHF 39mi,W7YAM McMinnvill,25K,High,441.8,446.8,114.8,114.8,Off
Salem OR UHF 39mi,WA7ABU Salem Sil,25K,High,444.95,449.95,100.0,100.0,Off
Salem OR UHF 39mi,W7SAA Silverton ,25K,High,444.25,449.25,100.0,100.0,Off
Salem OR UHF 39mi,KA7ENW Scio Rodg,25K,High,442.85,447.85,167.9,167.9,Off
Salem OR UHF 39mi,KD6VLR Albany ,25K,High,444.975,449.975,100.0,100.0,Off
Salem OR UHF 39mi,KG7MKW Lyons McC,25K,High,440.6,445.6,103.5,103.5,Off
Salem OR UHF 39mi,W7GRT Wilamina ,25K,High,442.825,447.825,123.0,123.0,Off
Salem OR UHF 39mi,WA7RGO Newberg B,25K,High,442.55,447.55,114.8,114.8,Off
Salem OR UHF 39mi,AH6LE Newberg Pa,25K,High,442.675,447.675,100.0,100.0,Off
Salem OR UHF 39mi,N8GFO Corvallis ,25K,High,442.3,447.3,162.2,162.2,Off
Salem OR UHF 39mi,W7DTV Molalla Mo,25K,High,440.7,445.7,77.0,77.0,Off
