Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Salem OR VHF 39mi,K7MRR Salem Popc,25K,High,145.35,144.75,186.2,186.2,Off
Salem OR VHF 39mi,WA7ABU Salem ,25K,High,145.29,144.69,,,Off
Salem OR VHF 39mi,W7SRA Salem Eagl,25K,High,145.33,144.73000000000002,186.2,186.2,Off
Salem OR VHF 39mi,W7SRA Salem Pros,25K,High,146.86,146.26000000000002,186.2,186.2,Off
Salem OR VHF 39mi,AB7BS Salem Pros,25K,High,145.49,144.89000000000001,136.5,136.5,Off
Salem OR VHF 39mi,W7RXJ McMinnvill,25K,High,146.64,146.04,100.0,100.0,Off
Salem OR VHF 39mi,K7RTL Amity Eola,25K,High,145.21,144.61,110.9,110.9,Off
Salem OR VHF 39mi,WA7ABU Gates ,25K,High,145.19,144.59,100.0,100.0,Off
Salem OR VHF 39mi,W7SAA Silverton ,25K,High,147.34,147.94,77.0,77.0,Off
Salem OR VHF 39mi,KA7ENW Scio Rodg,25K,High,146.61,146.01000000000002,167.9,167.9,Off
Salem OR VHF 39mi,W1ARK Lyons   Mc,25K,High,147.06,147.66,100.0,100.0,Off
Salem OR VHF 39mi,W7GRT Grande Ron,25K,High,146.66,146.06,136.5,136.5,Off
Salem OR VHF 39mi,W7OSU Corvallis ,25K,High,147.16,147.76,100.0,100.0,Off
Salem OR VHF 39mi,W7SRA Falls City,25K,High,147.02,147.62,186.2,186.2,Off
Salem OR VHF 39mi,K7WWG Newberg Ch,25K,High,146.9,146.3,127.3,127.3,Off
Salem OR VHF 39mi,KB7PSM Newberg C,25K,High,145.11,144.51000000000002,103.5,103.5,Off
Salem OR VHF 39mi,KR7IS Sherwood ,25K,High,145.47,144.87,107.2,107.2,Off
Salem OR VHF 39mi,KJ7IY Colton ,25K,High,145.43,144.83,107.2,107.2,Off
Salem OR VHF 39mi,AH6LE Beavercree,25K,High,146.92,146.32,107.2,107.2,Off
Salem OR VHF 39mi,N7QQU Aloha Coop,25K,High,147.36,147.96,107.2,107.2,Off
Salem OR VHF 39mi,K7ENW Sweet Home,25K,High,147.2,147.79999999999998,167.9,167.9,Off
Salem OR VHF 39mi,W7OTV Colton Goa,25K,High,146.96,146.36,127.3,127.3,Off
Salem OR VHF 39mi,W7NK Brownsville,25K,High,147.26,147.85999999999999,D026,D026,Off
Salem OR VHF 39mi,K7CVO Corvallis ,25K,High,146.78,146.18,156.7,156.7,Off
Salem OR VHF 39mi,KJ7IY Clackamas ,25K,High,146.8,146.20000000000002,107.2,107.2,Off
Salem OR VHF 39mi,W7LI Hebo Mt Heb,25K,High,147.22,147.82,100.0,100.0,Off
Salem OR VHF 39mi,N7QFT Hebo Mount,25K,High,147.26,147.85999999999999,162.2,162.2,Off
Salem OR VHF 39mi,WA7TUV Corvallis,25K,High,146.82,146.22,100.0,100.0,Off
Salem OR VHF 39mi,KE7AWR Portland ,25K,High,146.7,146.1,100.0,100.0,Off
Salem OR VHF 39mi,K7LJ Portland Co,25K,High,145.23,144.63,Off,Off,Off
Salem OR VHF 39mi,W7LT Clackamas M,25K,High,146.94,146.34,Off,Off,Off
Salem OR VHF 39mi,WB7QIW Clackamas,25K,High,147.28,147.88,167.9,167.9,Off
Salem OR VHF 39mi,W7LT Clackamas M,25K,High,147.18,147.78,103.5,103.5,Off
