Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Seattle WA UHF 45mi,K7SPG Seattle ,25K,High,444.0,449.0,103.5,103.5,Off
Seattle WA UHF 45mi,KC7LFW Seattle ,25K,High,444.225,449.225,123.0,123.0,Off
Seattle WA UHF 45mi,WA7LZO Seattle ,25K,High,442.9,447.9,103.5,103.5,Off
Seattle WA UHF 45mi,K7SLB Seattle ,25K,High,440.1,445.1,110.9,110.9,Off
Seattle WA UHF 45mi,W7ACS Seattle ,25K,High,443.0,448.0,156.7,156.7,Off
Seattle WA UHF 45mi,W7ACS Seattle ,25K,High,443.475,448.475,141.3,141.3,Off
Seattle WA UHF 45mi,WW7SEA Seattle C,25K,High,444.55,449.55,141.3,141.3,Off
Seattle WA UHF 45mi,AJ7JA Seattle Ca,25K,High,444.375,449.375,88.5,88.5,Off
Seattle WA UHF 45mi,WW7SEA Seattle K,25K,High,444.425,449.425,141.3,141.3,Off
Seattle WA UHF 45mi,WW7SEA Seattle Q,25K,High,444.7,449.7,103.5,103.5,Off
Seattle WA UHF 45mi,W7SRZ Seattle Be,25K,High,443.55,448.55,103.5,103.5,Off
Seattle WA UHF 45mi,K7IDS Seattle Se,25K,High,444.775,449.775,173.8,173.8,Off
Seattle WA UHF 45mi,W7AW Seattle Sou,25K,High,441.8,446.8,141.3,141.3,Off
Seattle WA UHF 45mi,W7MIR Mercer Isl,25K,High,440.15,445.15,103.5,103.5,Off
Seattle WA UHF 45mi,W7ACS Seattle We,25K,High,443.2,448.2,141.3,141.3,Off
Seattle WA UHF 45mi,KC7IYE Bellevue ,25K,High,441.1,446.1,156.7,156.7,Off
Seattle WA UHF 45mi,W7BMW Seattle ,25K,High,445.825,450.825,100.0,100.0,Off
Seattle WA UHF 45mi,K7LWH Bellevue L,25K,High,444.6,449.6,103.5,103.5,Off
Seattle WA UHF 45mi,W7SRZ Seattle No,25K,High,444.825,449.825,103.5,103.5,Off
Seattle WA UHF 45mi,K7LWH Kirkland ,25K,High,441.075,446.075,103.5,103.5,Off
Seattle WA UHF 45mi,W7ACS Seattle Ro,25K,High,443.65,448.65,141.3,141.3,Off
Seattle WA UHF 45mi,K7LD Bainbridge ,25K,High,440.2,445.2,103.5,103.5,Off
Seattle WA UHF 45mi,K7FDF Renton ,25K,High,443.6,448.6,103.5,103.5,Off
Seattle WA UHF 45mi,N6OBY Redmond ,25K,High,440.675,445.675,103.5,103.5,Off
Seattle WA UHF 45mi,W7AUX Shoreline ,25K,High,440.3,445.3,103.5,103.5,Off
Seattle WA UHF 45mi,W7NPC Bainbridge,25K,High,444.475,449.475,103.5,103.5,Off
Seattle WA UHF 45mi,WE7SCA Lake Fore,25K,High,442.0,447.0,141.3,141.3,Off
Seattle WA UHF 45mi,W7DME Bellevue C,25K,High,444.85,449.85,103.5,103.5,Off
Seattle WA UHF 45mi,KE7GFZ Bellevue ,25K,High,441.825,446.825,103.5,103.5,Off
Seattle WA UHF 45mi,WA7ST Seatac Sea,25K,High,443.1,448.1,103.5,103.5,Off
Seattle WA UHF 45mi,W7AUX Shoreline ,25K,High,442.825,447.825,103.5,103.5,Off
Seattle WA UHF 45mi,N6OBY Bellevue C,25K,High,443.325,448.325,103.5,103.5,Off
Seattle WA UHF 45mi,K7OET Bellevue C,25K,High,444.325,449.325,100.0,100.0,Off
Seattle WA UHF 45mi,K7MMI Bellevue C,25K,High,442.325,447.325,151.4,151.4,Off
Seattle WA UHF 45mi,K7PP Bellevue Co,25K,High,443.4,448.4,123.0,123.0,Off
Seattle WA UHF 45mi,W7SRG Sammamish ,25K,High,440.25,445.25,123.0,123.0,Off
Seattle WA UHF 45mi,WA7HJR Bothell ,25K,High,442.55,447.55,103.5,103.5,Off
Seattle WA UHF 45mi,KG7CM Vashon Isl,25K,High,443.775,448.775,103.5,103.5,Off
Seattle WA UHF 45mi,W7VMI Vashon Isl,25K,High,443.5,448.5,103.5,103.5,Off
Seattle WA UHF 45mi,KC7IGT Renton ,25K,High,441.45,446.45,123.0,123.0,Off
Seattle WA UHF 45mi,WA7DEM Mountlake,25K,High,443.725,448.725,103.5,103.5,Off
Seattle WA UHF 45mi,WA7TZY Woodinvil,25K,High,442.775,447.775,100.0,100.0,Off
Seattle WA UHF 45mi,N7MTC Bremerton ,25K,High,443.05,448.05,100.0,100.0,Off
Seattle WA UHF 45mi,AA7SS Bremerton ,25K,High,441.175,446.175,123.0,123.0,Off
Seattle WA UHF 45mi,W7PSE Bremerton ,25K,High,441.75,446.75,103.5,103.5,Off
Seattle WA UHF 45mi,K7OET Bremerton ,25K,High,442.25,447.25,123.0,123.0,Off
Seattle WA UHF 45mi,WE7SCA Edmonds ,25K,High,440.375,445.375,103.5,103.5,Off
Seattle WA UHF 45mi,WE7SCA Edmonds ,25K,High,444.025,449.025,103.5,103.5,Off
Seattle WA UHF 45mi,N6CES Lynnwood ,25K,High,444.675,449.675,173.8,173.8,Off
Seattle WA UHF 45mi,N9VW Issaquah ,25K,High,440.25,445.25,123.0,123.0,Off
