Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
UL FRS NBFM,FRS 1,12.5K,Medium,462.5625,462.5625,Off,Off,Off
UL FRS NBFM,FRS 2,12.5K,Medium,462.5875,462.5875,Off,Off,Off
UL FRS NBFM,FRS 3,12.5K,Medium,462.6125,462.6125,Off,Off,Off
UL FRS NBFM,FRS 4,12.5K,Medium,462.6375,462.6375,Off,Off,Off
UL FRS NBFM,FRS 5,12.5K,Medium,462.6675,462.6675,Off,Off,Off
UL FRS NBFM,FRS 6,12.5K,Medium,462.6875,462.6875,Off,Off,Off
UL FRS NBFM,FRS 7,12.5K,Medium,462.7125,462.7125,Off,Off,Off
UL FRS NBFM,FRS 8 (IS),12.5K,Low,467.5625,467.5625,Off,Off,Off
UL FRS NBFM,FRS 9 (IS),12.5K,Low,467.5875,467.5875,Off,Off,Off
UL FRS NBFM,FRS 10 (IS),12.5K,Low,467.6125,467.6125,Off,Off,Off
UL FRS NBFM,FRS 11 (IS),12.5K,Low,467.6375,467.6375,Off,Off,Off
UL FRS NBFM,FRS 12 (IS),12.5K,Low,467.6625,467.6625,Off,Off,Off
UL FRS NBFM,FRS 13 (IS),12.5K,Low,467.6875,467.6875,Off,Off,Off
UL FRS NBFM,FRS 14 (IS),12.5K,Low,467.7125,467.7125,Off,Off,Off
UL GMRS,GMRS 1 (15),20K,High,462.55,462.55,Off,Off,Off
UL GMRS,GMRS 2 (16),20K,High,462.575,462.575,Off,Off,Off
UL GMRS,GMRS 3 (17),20K,High,462.6,462.6,Off,Off,Off
UL GMRS,GMRS 4 (18),20K,High,462.625,462.625,Off,Off,Off
UL GMRS,GMRS 5 (19),20K,High,462.65,462.65,Off,Off,Off
UL GMRS,GMRS 6 (20),20K,High,462.675,462.675,Off,Off,Off
UL GMRS,GMRS 7 (21),20K,High,462.7,462.7,Off,Off,Off
UL GMRS,GMRS 8 (22),20K,High,462.725,462.725,Off,Off,Off
UL MURS,MURS 1,12.5K,Medium,151.82,151.82,Off,Off,Off
UL MURS,MURS 2,12.5K,Medium,151.88,151.88,Off,Off,Off
UL MURS,MURS 3,12.5K,Medium,151.94,151.94,Off,Off,Off
UL MURS,MURS 4 (Blue),20K,Medium,154.57,154.57,Off,Off,Off
UL MURS,MURS 5 (Green),20K,Medium,154.6,154.6,Off,Off,Off
