Zone,Channel Name,Power,RX Freq,TX Freq,Color Code,Talk Group,TimeSlot,Call Type,TX Permit
Simplex,Sim V01  145.790,High,145.79,145.79,1,Simplex 99,1,Group Call,Always
Simplex,Sim V02  145.510,High,145.51,145.51,1,Simplex 99,1,Group Call,Always
Simplex,Sim U01  441.000,High,441,441,1,Simplex 99,1,Group Call,Always
Simplex,Sim U02  446.5,High,446.5,446.5,1,Simplex 99,1,Group Call,Always
Simplex,Sim U03  446.075,High,446.075,446.075,1,Simplex 99,1,Group Call,Always
Simplex,Sim U04  433.45,High,433.45,433.45,1,Simplex 99,1,Group Call,Always
Simplex,Sim U05  4304125,Low,430.4125,430.4125,1,Simplex 99,1,Group Call,Always
Simplex,Sim U06  4394125,Low,439.4125,439.4125,1,Simplex 99,1,Group Call,Always
Simplex,Sim U07  430.425,Low,430.425,430.425,1,Simplex 99,1,Group Call,Always
Simplex,Sim U08  439.425,Low,439.425,439.425,1,Simplex 99,1,Group Call,Always
Simplex,Rpt U09 430.4375,Low,430.4375,439.4375,1,Simplex 99,1,Group Call,Same Color Code
Simplex,Rpt U10  430.450,Low,430.45,439.45,1,Local 1,1,Group Call,Same Color Code
Simplex,Rpt U11 430.4625,Low,430.4625,439.4625,1,Local 1,1,Group Call,Same Color Code
Simplex,Rpt U12  430.475,Low,430.475,439.475,1,Local 1,1,Group Call,Same Color Code
