Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
444.50000+,118.8,"Astoria Nicolai Mountain",OR,Clatsop,WA6TTR,OPEN,19.2,SE
440.17500+,100.0,"Manzanita Angora Peak",OR,Tillamook,W7EM,OPEN,28.0,S
444.92500+,82.5,"Chinook Megler Mountain",WA,Pacific,NM7R,OPEN,8.0,NW
440.67500+,118.8,"Naselle Naselle Ridge",WA,Pacific,NM7R,OPEN,16.2,N
441.67500+,118.8,"Lebam KO Peak",WA,Pacific,N7XAC,OPEN,23.2,NE
444.80000+,118.8,"Long Beach County Building",WA,Pacific,NM7R,OPEN,15.5,NW
440.92500+,118.8,"Chinook Megler Mountain",WA,Pacific,W7BU,OPEN,5.8,NNW
443.87500+,100.0,"Seaside ",OR,Clatsop,N7PIR,OPEN,16.7,SSW
441.30000+,123.0,"Raymond K.O. Peak",WA,Pacific,K7PP,OPEN,23.2,NE
444.85000+,118.8,"Astoria ",OR,Clatsop,W7BU,OPEN,3.5,SSW
