Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
146.74000-,118.8,"Cannon Beach Arch Cape",OR,Clatsop,W7BU,OPEN,27.4,SSW
146.76000-,118.8,"Astoria Nicolai Mountain",OR,Clatsop,W7BU,OPEN,19.2,SE
147.18000+,82.5,"Chinook Megler Mountain",WA,Pacific,NM7R,OPEN,7.5,NNW
146.86000-,118.8,"Ilwaco KVAS Tower",WA,Pacific,W7RDR,OPEN,13.8,NW
145.45000-,118.8,"Chinook Megler Mountain",WA,Pacific,W7BU,OPEN,5.8,NNW
147.02000+,118.8,"Cathlamet KM Hill",WA,Wahkiakum,NM7R,OPEN,18.9,NE
145.17000-,118.8,"Ocean Park Fire Hall",WA,Pacific,NM7R,OPEN,23.4,NNW
146.72000-,114.8,"Astoria Wickiup Mountain",OR,Clatsop,K7RPT,OPEN,13.0,SE
147.00000+,118.8,"Seaside ",OR,Clatsop,WA7PIX,OPEN,26.0,SSE
146.80000-,118.8,"Gearhart ",OR,Clatsop,W7BU,OPEN,11.2,SSW
