Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
145.27000-,107.2,"Timber ",OR,Tillamook,KJ7IY,OPEN,33.6,SSW
146.88000-,114.8,"Deer Island Meissner Lookout",OR,Columbia,N7EI,OPEN,12.6,SSW
146.76000-,118.8,"Astoria Nicolai Mountain",OR,Clatsop,W7BU,OPEN,25.2,W
145.37000-,123.0,"Vancouver Livingston Mountain",WA,Clark,AB7F,OPEN,42.0,SE
146.84000-,CSQ,"Vancouver Larch Mountain",WA,Clark,W7LT,OPEN,42.5,SE
147.24000+,94.8,"Camas Livingston Mountain",WA,Clark,W7AIA,OPEN,41.9,SE
147.06000+,110.9,"Chehalis Baw Faw Peak (Boistfort Peak)",WA,Lewis,WA7UHD,OPEN,27.6,NNW
147.26000+,114.8,"Longview ",WA,Cowlitz,W7DG,OPEN,2.9,E
147.30000+,114.8,"Woodland Fire Station",WA,Cowlitz,W7DG,OPEN,18.6,SSE
147.02000+,118.8,"Cathlamet KM Hill",WA,Wahkiakum,NM7R,OPEN,30.7,WNW
146.74000-,110.9,"Chehalis Crego Hill",WA,Lewis,K7KFM,OPEN,29.4,N
146.72000-,114.8,"Astoria Wickiup Mountain",OR,Clatsop,K7RPT,OPEN,31.1,W
147.00000+,118.8,"Seaside ",OR,Clatsop,WA7PIX,OPEN,35.1,WSW
147.08000+,107.2,"Hockinson ",WA,Clark,K7BPR,OPEN,37.9,SE
146.68000-,114.8,"Warren McNulty Water Tower",OR,Columbia,N7EI,OPEN,20.9,S
145.25000-,114.8,"Vernonia Corey Hill",OR,Columbia,W7VER,OPEN,23.0,SW
