Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
145.43000-,110.9,"Chehalis ",WA,Lewis,WA7UHD,OPEN,26.1,S
145.17000-,103.5,"Belfair ",WA,Mason,NM7E,OPEN,27.6,N
146.76000-,103.5,"Federal Way ",WA,King,WA7FW,OPEN,33.9,NE
147.04000+,103.5,"Federal Way ",WA,King,WA7FW,OPEN,33.9,NE
147.14000+,123.0,"Enumclaw Baldi Mountain",WA,King,WB7DOB,OPEN,12.8,NNE
146.80000-,97.4,"Lacey ",WA,Thurston,WC7I,OPEN,6.7,E
147.36000+,103.5,"Olympia water tower",WA,Thurston,NT7H,OPEN,0.7,SSE
145.27000-,127.3,"Shelton South Mountain",WA,Mason,K7CH,OPEN,29.1,NW
145.21000-,141.3,"Tacoma Ch 28 Tower",WA,Pierce,W7DK,OPEN,24.7,NE
146.64000-,103.5,"Edgewood ",WA,Pierce,KB7CNN,OPEN,26.1,NE
147.28000+,103.5,"Tacoma ",WA,Pierce,W7DK,OPEN,26.1,NE
147.38000+,103.5,"Tenino Crawford Mountain",WA,Thurston,W7DK,OPEN,15.0,SSE
145.47000-,100.0,"Olympia Capitol Peak",WA,Thurston,K7CPR,OPEN,11.9,WSW
146.72000-,103.5,"Shelton Water Tower",WA,Mason,N7SK,OPEN,15.4,NW
146.94000-,103.5,"Tacoma ",WA,Pierce,K7HW,OPEN,26.1,NE
145.35000-,103.5,"Olalla ",WA,Kitsap,W7ZLJ,OPEN,31.8,NNE
145.29000-,114.8,"University Place ",WA,Pierce,K7NP,OPEN,21.4,NE
147.12000+,173.8,"Tumwater ",WA,Thurston,N7EHP,OPEN,2.1,S
145.45000-,110.9,"Alder ",WA,Pierce,KB7CNN,OPEN,32.4,SE
145.49000-,110.9,"Centralia Cook's Hill Fire Station",WA,Lewis,K7CEM,OPEN,23.0,SSW
147.22000+,77.0,"Moclips ",WA,Grays Harbor,KI7CPI,OPEN,20.7,NW
146.86000+,110.9,"Centralia ",WA,Lewis,K7CEM,OPEN,22.4,S
