Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
442.67500+,100.0,"Newberg Parrett Mountain",OR,Yamhill,AH6LE,OPEN,18.3,SSW
442.07500+,103.5,"Oregon City Boynton Standpipe Water Tower",OR,Clackamas,W7ZRS,OPEN,12.1,SSE
443.42500+,107.2,"Sherwood ",OR,Yamhill,KR7IS,OPEN,14.0,SW
443.47500+,167.9,"Clackamas Mt Scott",OR,Clackamas,WB7QIW,OPEN,7.7,SE
443.55000+,100.0,"Portland Garden Home",OR,Multnomah,K7GDS,OPEN,5.2,SSW
440.15000+,,"Vancouver ",WA,Clark,KB7PSM,OPEN,0.1,NE
440.35000+,127.3,"Portland Stonehenge Tower",OR,Multnomah,KB7OYI,OPEN,2.5,SSW
440.40000+,123.0,"Portland KOIN Tower",OR,Multnomah,W7RAT,OPEN,0.7,S
440.45000+,103.5,"Portland Skyline",OR,Multnomah,N7PIR,OPEN,3.4,W
440.70000+,77.0,"Molalla Molalla Fire District 73",OR,Clackamas,W7DTV,OPEN,26.4,S
441.35000+,100.0,"Portland Skyline",OR,Multnomah,W7EXH,OPEN,3.4,W
442.22500+,103.5,"Portland Sylvan KOIN Tower",OR,Multnomah,K7RPT,OPEN,2.9,W
442.27500+,107.2,"Sherwood ",OR,Washington,KJ7IY,OPEN,14.0,SW
442.55000+,114.8,"Newberg Bald Peak",OR,Yamhill,WA7RGO,OPEN,21.3,SW
443.22500+,107.2,"Portland ",OR,Multnomah,W7PMC,OPEN,0.1,NE
443.62500+,77.0,"Portland Skyline",OR,Multnomah,W7DTV,OPEN,3.4,W
444.85000+,123.0,"Beaverton St Vincent Hosp",OR,Washington,W7PSV,OPEN,4.7,W
442.52500+,107.2,"Aloha Cooper Mountain",OR,Washington,KA7OSM,OPEN,10.5,WSW
442.87500+,107.2,"Sandy ",OR,Clackamas,KJ7IY,OPEN,21.9,SE
443.15000+,107.2,"Clackamas Mt Scott",OR,Clackamas,KJ7IY,OPEN,7.7,SE
443.35000+,156.7,"Aloha ",OR,Washington,NM7B,OPEN,9.4,WSW
443.65000+,100.0,"Laurelwood Bald Peak",OR,Yamhill,K7AUO,OPEN,20.4,WSW
440.50000+,D125,"Portland KGW Tower",OR,Multnomah,AB7BS,OPEN,3.4,W
441.80000+,114.8,"McMinnville Eola Hill",OR,Yamhill,W7YAM,OPEN,37.1,SW
442.70000+,100.0,"Portland OHSU",OR,Multnomah,K7LTA,OPEN,1.7,SSW
442.65000+,100.0,"Portland Council Crest",OR,Multnomah,K7LJ,OPEN,2.7,SSW
444.97500+,107.2,"Hillsboro Intel's Jones Farm Campus",OR,Washington,K7CPU,OPEN,13.8,W
442.57500+,123.0,"Sherwood ",OR,Washington,K7REA,OPEN,14.0,SW
444.45000+,131.8,"Canby ",OR,Clackamas,K7CFD,OPEN,18.0,S
442.92500+,107.2,"Colton ",OR,Clackamas,WB7DZG,OPEN,26.9,SSE
440.82500+,110.9,"Portland Emanuel Hospital",OR,Multnomah,K7LHS,OPEN,1.2,WNW
444.62500+,107.2,"Warren McNulty Water Tower",OR,Columbia,N7EI,OPEN,23.9,NNW
441.62500+,146.2,"Gresham Walters Hill",OR,Multnomah,KE7AWR,OPEN,11.9,ESE
441.40000+,88.5,"Colton Goat Mountain",OR,Clackamas,WB6EGS,OPEN,32.7,SE
443.30000+,100.0,"Portland Council Crest",OR,Multnomah,K7NE,OPEN,2.9,W
441.82500+,107.2,"Timber Hoffman Hill",OR,Washington,KJ7IY,OPEN,28.9,NW
440.20000+,100.0,"Portland Skyline",OR,Multnomah,N7BAR,OPEN,3.4,W
442.37500+,123.0,"Vancouver Larch Mountain",WA,Clark,AB7F,OPEN,11.4,NNE
443.12500+,94.8,"Yacolt ",WA,Clark,W7AIA,OPEN,27.0,NNE
443.92500+,94.8,"Camas Livingston Mountain",WA,Clark,W7AIA,OPEN,18.4,NE
443.67500+,107.2,"Vancouver Larch Mountain",WA,Clark,KE7FUW,OPEN,22.7,NE
440.32500+,100.0,"Yacolt ",WA,Clark,W7RY,OPEN,27.1,NNE
444.52500+,103.5,"Camas Prune Hill",WA,Clark,KE7BK,OPEN,12.4,E
441.20000+,107.2,"Yacolt Yacolt Mountain",WA,Clark,KC7NQU,OPEN,25.7,NNE
444.55000+,131.8,"Vancouver ",WA,Clark,N7XMT,OPEN,8.0,N
444.72500+,107.2,"Hockinson ",WA,Clark,K7BPR,OPEN,17.4,NNE
444.92500+,94.8,"La Center ",WA,Clark,K7ABL,OPEN,19.9,N
443.80000+,100.0,"Hazel Dell ",WA,Clark,KC7QPD,OPEN,10.3,N
442.90000+,123.0,"Canby ",OR,Clackamas,WB7QAZ,OPEN,17.2,S
440.57500+,100.0,"Woodland ",WA,Cowlitz,N8VJP,OPEN,26.6,N
444.47500+,100.0,"Woodland ",WA,Cowlitz,K7LJ,OPEN,26.6,N
443.20000+,173.8,"Portland Skyline",OR,Multnomah,K6PRN,OPEN,9.5,NW
443.75000+,100.0,"Newberg Chehalem Ridge",OR,Washington,K7RPT,OPEN,18.6,SW
444.80000+,107.2,"Cedar Mill ",OR,Washington,N7PRM,OPEN,5.7,W
443.90000+,94.8,"Vancouver Larch Mountain",WA,Clark,W7AIA,OPEN,22.7,NE
440.17500+,110.9,"Tigard Bull Mountain",OR,Washington,KF7TTS,OPEN,10.0,SW
441.65000+,107.2,"West Linn West Linn Ridge",OR,Clackamas,WA7DRO,OPEN,11.3,SSE
444.75000+,123.0,"Beaverton ",OR,Washington,WB7CRT,OPEN,6.7,WSW
446.27500x,167.9,"Gresham ",OR,Multnomah,N7DOD,OPEN,12.0,ESE
442.25000+,100.0,"Portland KPDX Tower",OR,Multnomah,W7PM,OPEN,3.7,W
444.30000+,82.5,"Lake Oswego ",OR,Clackamas,WA7LO,OPEN,7.1,S
443.27500+,167.9,"Portland Healy Heights",OR,Multnomah,KA7AGH,OPEN,2.5,SSW
444.60000+,100.0,"Beavercreek ",OR,Clackamas,WA7ABU,OPEN,23.2,SSE
444.52500+,136.5,"Tualatin ",OR,Washington,KJ7ECQ,OPEN,11.3,SSW
