Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
145.47000-,107.2,"Sherwood ",OR,Yamhill,KR7IS,OPEN,14.0,SW
146.92000-,107.2,"Beavercreek Highland Butte",OR,Clackamas,AH6LE,OPEN,22.8,SSE
146.94000-,CSQ,"Clackamas Mt Scott",OR,Clackamas,W7LT,OPEN,7.7,SE
146.96000-,127.3,"Colton Goat Mountain",OR,Clackamas,W7OTV,OPEN,32.7,SE
147.28000+,167.9,"Clackamas Mt Scott",OR,Clackamas,WB7QIW,OPEN,7.7,SE
145.23000-,CSQ,"Portland Council Crest",OR,Multnomah,K7LJ,OPEN,2.3,SW
145.39000-,100.0,"Portland Mt Tabor",OR,Multnomah,K7LJ,OPEN,4.0,ESE
146.70000-,100.0,"Portland Stonehenge Tower",OR,Multnomah,KE7AWR,OPEN,2.5,SSW
146.80000-,107.2,"Clackamas ",OR,Clackamas,KJ7IY,OPEN,10.0,SE
146.98000-,D023,"Portland KGW Tower",OR,Multnomah,N7EXH,OPEN,3.4,W
147.04000+,100.0,"Portland Sylvan TV Tower",OR,Multnomah,K7RPT,OPEN,2.9,W
147.36000+,107.2,"Aloha Cooper Mountain",OR,Washington,N7QQU,OPEN,10.5,WSW
146.90000-,127.3,"Newberg Chehalem Mountain",OR,Yamhill,K7WWG,OPEN,20.2,WSW
147.38000+,100.0,"Cedar Mill ",OR,Washington,K7RPT,OPEN,6.5,W
145.31000-,123.0,"Portland Skyline",OR,Multnomah,N7EXH,OPEN,3.4,W
145.11000-,103.5,"Newberg Chehalem Mountain",OR,Yamhill,KB7PSM,OPEN,20.2,WSW
145.41000-,100.0,"Corbett Lookout Point",OR,Multnomah,N7LF,OPEN,26.7,ESE
145.45000-,136.5,"North Plains ",OR,Washington,KE7DC,OPEN,16.1,WNW
145.43000-,107.2,"Colton ",OR,Clackamas,KJ7IY,OPEN,26.9,SSE
147.14000+,107.2,"Portland Skyline",OR,Multnomah,W7AC,OPEN,3.4,W
145.37000-,123.0,"Vancouver Livingston Mountain",WA,Clark,AB7F,OPEN,18.3,NE
146.84000-,CSQ,"Vancouver Larch Mountain",WA,Clark,W7LT,OPEN,22.8,NE
147.24000+,94.8,"Camas Livingston Mountain",WA,Clark,W7AIA,OPEN,18.4,NE
147.30000+,114.8,"Woodland Fire Station",WA,Cowlitz,W7DG,OPEN,26.6,N
147.08000+,107.2,"Hockinson ",WA,Clark,K7BPR,OPEN,19.1,NE
146.68000-,114.8,"Warren McNulty Water Tower",OR,Columbia,N7EI,OPEN,23.9,NNW
147.18000+,103.5,"Clackamas Mt Scott",OR,Clackamas,W7LT,OPEN,7.9,SE
145.25000-,114.8,"Vernonia Corey Hill",OR,Columbia,W7VER,OPEN,34.7,NW
145.21000-,110.9,"Amity Eola Hill",OR,Yamhill,K7RTL,OPEN,37.2,SW
