Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
441.97500+,100.0,"Corvallis West Marys Peak",OR,Benton,W7CQZ,OPEN,39.5,SW
442.30000+,162.2,"Corvallis Good Sam Hospital",OR,Benton,N8GFO,OPEN,25.9,SSW
442.67500+,100.0,"Newberg Parrett Mountain",OR,Yamhill,AH6LE,OPEN,25.8,NNE
442.07500+,103.5,"Oregon City Boynton Standpipe Water Tower",OR,Clackamas,W7ZRS,OPEN,35.3,NE
443.42500+,107.2,"Sherwood ",OR,Yamhill,KR7IS,OPEN,30.1,NNE
443.47500+,167.9,"Clackamas Mt Scott",OR,Clackamas,WB7QIW,OPEN,42.5,NNE
443.55000+,100.0,"Portland Garden Home",OR,Multnomah,K7GDS,OPEN,38.6,NNE
440.35000+,127.3,"Portland Stonehenge Tower",OR,Multnomah,KB7OYI,OPEN,41.2,NNE
440.70000+,77.0,"Molalla Molalla Fire District 73",OR,Clackamas,W7DTV,OPEN,26.4,E
442.27500+,107.2,"Sherwood ",OR,Washington,KJ7IY,OPEN,30.1,NNE
442.55000+,114.8,"Newberg Bald Peak",OR,Yamhill,WA7RGO,OPEN,24.8,N
442.52500+,107.2,"Aloha Cooper Mountain",OR,Washington,KA7OSM,OPEN,36.3,NNE
442.87500+,107.2,"Sandy ",OR,Clackamas,KJ7IY,OPEN,49.1,NE
443.15000+,107.2,"Clackamas Mt Scott",OR,Clackamas,KJ7IY,OPEN,42.5,NNE
443.35000+,156.7,"Aloha ",OR,Washington,NM7B,OPEN,39.0,NNE
443.65000+,100.0,"Laurelwood Bald Peak",OR,Yamhill,K7AUO,OPEN,31.3,N
443.45000+,123.0,"Salem ",OR,Marion,KC7CFS,OPEN,6.1,S
441.27500+,100.0,"Salem Prospect Hill",OR,Marion,W7SRA,OPEN,7.4,SW
444.97500+,100.0,"Albany ",OR,Linn,KD6VLR,OPEN,23.4,SSW
443.72500+,186.2,"Salem Prospect Hill",OR,Marion,W7SRA,OPEN,7.4,SW
444.25000+,100.0,"Silverton Silver Falls",OR,Marion,W7SAA,OPEN,17.0,ESE
444.95000+,100.0,"Salem Silver Creek Falls",OR,Marion,WA7ABU,OPEN,13.1,E
440.90000+,118.8,"Hebo Mt Hebo",OR,Tillamook,W7GC,OPEN,39.8,WNW
