Freq,Tone,Location,ST/PR,County,Call,Use,Miles,Bearing 
444.32500+,100.0,"Bellevue Cougar Mountain",WA,King,K7OET,OPEN,11.8,SE
444.55000+,141.3,"Seattle Columbia Center",WA,King,WW7SEA,OPEN,0.2,SE
440.20000+,103.5,"Bainbridge Island ",WA,Kitsap,K7LD,OPEN,9.0,WSW
443.65000+,141.3,"Seattle Roosevelt Hill",WA,King,W7ACS,OPEN,8.5,N
442.65000+,103.5,"Bremerton Gold Mountain",WA,Kitsap,WW7RA,OPEN,21.5,W
444.57500+,103.5,"Everett ",WA,Snohomish,WA7LAW,OPEN,27.8,NNE
442.95000+,103.5,"Federal Way ",WA,King,WA7FW,OPEN,19.6,S
441.07500+,103.5,"Kirkland ",WA,King,K7LWH,OPEN,7.7,NE
441.77500+,103.5,"North Bend Rattlesnake Mountain",WA,King,W7PSE,OPEN,26.6,SE
442.47500+,100.0,"Lacey ",WA,Thurston,WC7I,OPEN,41.4,SSW
443.67500+,103.5,"Tacoma ",WA,Pierce,WW7MST,OPEN,25.0,SSW
443.77500+,103.5,"Vashon Island ",WA,King,KG7CM,OPEN,12.5,SSW
442.50000+,123.0,"Quilcene Buck Mountain",WA,Jefferson,W2ZT,OPEN,30.3,WNW
444.27500+,203.5,"Roy ",WA,Pierce,KB7UXE,OPEN,42.7,SSW
444.65000+,131.8,"Issaquah Tiger Mountain East",WA,King,WA7HJR,OPEN,19.7,SE
444.37500+,88.5,"Seattle Capitol Hill",WA,King,AJ7JA,OPEN,1.3,E
442.10000+,100.0,"Sequim Blyn Lookout",WA,Clallam,KC7EQO,OPEN,40.6,NW
440.30000+,103.5,"Shoreline ",WA,King,W7AUX,OPEN,10.4,N
442.97500+,103.5,"Snohomish Clearview",WA,Snohomish,WA7DEM,OPEN,23.8,NNE
441.37500+,173.8,"Renton Lake Youngs",WA,King,WB7DOB,OPEN,15.0,SE
444.30000+,103.5,"Quilcene Buck Mountain",WA,Jefferson,WA7WKT,OPEN,29.4,WNW
444.12500+,103.5,"Sultan ",WA,Snohomish,W7SKY,OPEN,29.8,NE
442.45000+,103.5,"Tacoma ",WA,Pierce,W7TED,OPEN,25.0,SSW
444.90000+,131.8,"Sequim ",WA,Clallam,K6MBY,OPEN,48.4,NW
443.50000+,103.5,"Vashon Island ",WA,King,W7VMI,OPEN,12.5,SSW
444.47500+,103.5,"Bainbridge Island ",WA,Kitsap,W7NPC,OPEN,10.6,WNW
443.42500+,103.5,"Quilcene Hood Canal",WA,Jefferson,WO7O,OPEN,31.1,W
441.05000+,103.5,"Camano Island ",WA,Island,W7PIG,OPEN,43.5,N
441.17500+,123.0,"Bremerton ",WA,Kitsap,AA7SS,OPEN,14.3,W
441.10000+,156.7,"Bellevue ",WA,King,KC7IYE,OPEN,6.1,ESE
440.67500+,103.5,"Redmond ",WA,King,N6OBY,OPEN,10.3,ESE
444.00000+,103.5,"Seattle ",WA,King,K7SPG,OPEN,0.0,N
444.22500+,123.0,"Seattle ",WA,King,KC7LFW,OPEN,0.0,N
444.52500+,103.5,"Issaquah Squak Mountain",WA,King,N7KGJ,OPEN,15.0,SE
442.77500+,100.0,"Woodinville ",WA,King,WA7TZY,OPEN,12.9,NE
444.82500+,103.5,"Seattle Northwest Hospital",WA,King,W7SRZ,OPEN,7.6,N
443.60000+,103.5,"Renton ",WA,King,K7FDF,OPEN,10.1,SSE
444.75000+,103.5,"Puyallup ",WA,Pierce,KB7CNN,OPEN,25.0,SSW
441.75000+,103.5,"Bremerton Green Mountain",WA,Kitsap,W7PSE,OPEN,14.3,W
444.25000+,103.5,"Electron ",WA,Pierce,W7UDI,OPEN,42.9,S
442.42500+,103.5,"Sequim Maynard Peak",WA,Clallam,W7PSE,OPEN,43.1,WNW
442.90000+,103.5,"Seattle ",WA,King,WA7LZO,OPEN,0.0,N
444.70000+,103.5,"Seattle Queen Anne Hill",WA,King,WW7SEA,OPEN,2.1,NNW
441.12500+,123.0,"Quilcene Buck Mountain",WA,Jefferson,WB0CZA,OPEN,30.1,WNW
443.22500+,103.5,"Arlington ",WA,Snohomish,N7NFY,OPEN,38.9,NNE
440.22500+,103.5,"Olalla ",WA,Kitsap,WR7HE,OPEN,15.8,SW
443.32500+,103.5,"Bellevue Cougar Mountain",WA,King,N6OBY,OPEN,11.3,SE
442.37500+,103.5,"University Place ",WA,Pierce,K7NP,OPEN,27.6,SSW
443.15000+,173.8,"University Place ",WA,Pierce,N7EHP,OPEN,27.6,SSW
442.82500+,103.5,"Shoreline CRISTA",WA,King,W7AUX,OPEN,11.2,N
443.55000+,103.5,"Seattle Beacon Hill",WA,King,W7SRZ,OPEN,4.0,SSE
444.20000+,D172,"Marysville ",WA,Snohomish,K7MLR,OPEN,31.6,NNE
441.80000+,141.3,"Seattle Southwest Myrtle Street Reservoir",WA,King,W7AW,OPEN,5.0,SSW
443.72500+,103.5,"Mountlake Terrace ",WA,Snohomish,WA7DEM,OPEN,12.6,N
440.62500+,103.5,"Tacoma ",WA,Pierce,W7DK,OPEN,25.0,SSW
444.17500+,103.5,"Tacoma ",WA,Pierce,K7HW,OPEN,25.0,SSW
441.12500+,123.0,"Sequim Maynard Peak",WA,Clallam,WB0CZA,OPEN,43.1,WNW
442.05000+,103.5,"Sequim Bell Hill",WA,Clallam,KO6I,OPEN,46.7,NW
443.25000+,100.0,"Shelton ",WA,Mason,N7SK,OPEN,45.0,SW
442.32500+,151.4,"Bellevue Cougar Mountain",WA,King,K7MMI,OPEN,11.8,SE
442.60000+,127.3,"Issaquah Tiger Mountain East",WA,King,K7DNR,OPEN,19.7,SE
443.30000+,156.7,"Issaquah Tiger Mountain East",WA,King,K7KG,OPEN,19.7,SE
442.02500+,110.9,"Issaquah East Tiger Mountain",WA,King,W7WWI,OPEN,19.7,SE
442.07500+,110.9,"Issaquah West Tiger Mountain",WA,King,K7NWS,OPEN,18.0,SE
442.25000+,123.0,"Bremerton ",WA,Kitsap,K7OET,OPEN,14.3,WSW
444.95000+,118.8,"Olympia Capitol Peak",WA,Thurston,N7UJK,OPEN,57.7,SW
440.55000+,103.5,"Lacey ",WA,Thurston,W6TOZ,OPEN,45.7,SSW
444.80000+,141.3,"Enumclaw Baldi Mountain",WA,King,K7OET,OPEN,34.8,SE
444.80000+,100.0,"Bremerton ",WA,Kitsap,K7OET,OPEN,15.1,W
441.62500+,100.0,"Enumclaw Baldi Mountain",WA,King,W7TWA,OPEN,35.2,SE
443.25000+,103.5,"Duvall ",WA,King,KE7GFZ,OPEN,21.3,E
444.92500+,85.4,"Snoqualmie ",WA,King,N7SNO,OPEN,24.3,SE
443.10000+,103.5,"Seatac SeaTac Airport",WA,King,WA7ST,OPEN,10.9,S
444.27500+,100.0,"Sequim ",WA,Clallam,AF7DX,OPEN,46.3,NW
444.90000+,103.5,"Covington ",WA,King,N7UIC,OPEN,26.4,SSE
